region,location_type,gernder,age,education,count
Витебская,Село,Женский,41-50,Базовое / Среднее общее (школа),7244
Витебская,Село,Женский,41-50,Другое,271
Витебская,Село,Женский,51-60,Высшее,3062
Витебская,Село,Женский,51-60,Среднее специальное,8163
Витебская,Село,Женский,51-60,Профессионально-техническое,2676
Витебская,Село,Женский,51-60,Базовое / Среднее общее (школа),9222
Витебская,Село,Женский,51-60,Другое,597
Витебская,Село,Женский,старше 60,Высшее,3138
Витебская,Село,Женский,старше 60,Среднее специальное,6474
Витебская,Село,Женский,старше 60,Профессионально-техническое,1160
Витебская,Село,Женский,старше 60,Базовое / Среднее общее (школа),18858
Витебская,Село,Женский,старше 60,Другое,30883
Гродненская,Город,Мужской,18-30,Высшее,12114
Гродненская,Город,Мужской,18-30,Среднее специальное,27580
Гродненская,Город,Мужской,18-30,Профессионально-техническое,11816
Гродненская,Город,Мужской,18-30,Базовое / Среднее общее (школа),26043
Гродненская,Город,Мужской,18-30,Другое,239
Гродненская,Город,Мужской,31-40,Высшее,12082
Гродненская,Город,Мужской,31-40,Среднее специальное,19812
Гродненская,Город,Мужской,31-40,Профессионально-техническое,7371
Гродненская,Город,Мужской,31-40,Базовое / Среднее общее (школа),11626
Гродненская,Город,Мужской,31-40,Другое,189
Гродненская,Город,Мужской,41-50,Высшее,11565
Гродненская,Город,Мужской,41-50,Среднее специальное,20485
Гродненская,Город,Мужской,41-50,Профессионально-техническое,8155
Гродненская,Город,Мужской,41-50,Базовое / Среднее общее (школа),15404
Гродненская,Город,Мужской,41-50,Другое,107
Гродненская,Город,Мужской,51-60,Высшее,9887
Гродненская,Город,Мужской,51-60,Среднее специальное,13574
Гродненская,Город,Мужской,51-60,Профессионально-техническое,5497
Гродненская,Город,Мужской,51-60,Базовое / Среднее общее (школа),13060
Гродненская,Город,Мужской,51-60,Другое,190
Гродненская,Город,Мужской,старше 60,Высшее,7715
Гродненская,Город,Мужской,старше 60,Среднее специальное,7856
Гродненская,Город,Мужской,старше 60,Профессионально-техническое,3084
Гродненская,Город,Мужской,старше 60,Базовое / Среднее общее (школа),12244
Гродненская,Город,Мужской,старше 60,Другое,5172
Гродненская,Город,Женский,18-30,Высшее,18872
Гродненская,Город,Женский,18-30,Среднее специальное,27884
Гродненская,Город,Женский,18-30,Профессионально-техническое,5834
Гродненская,Город,Женский,18-30,Базовое / Среднее общее (школа),24178
Гродненская,Город,Женский,18-30,Другое,177
Гродненская,Город,Женский,31-40,Высшее,17083
Гродненская,Город,Женский,31-40,Среднее специальное,25236
Гродненская,Город,Женский,31-40,Профессионально-техническое,5045
Гродненская,Город,Женский,31-40,Базовое / Среднее общее (школа),7582
Гродненская,Город,Женский,31-40,Другое,123
Гродненская,Город,Женский,41-50,Высшее,15988
Гродненская,Город,Женский,41-50,Среднее специальное,31075
Гродненская,Город,Женский,41-50,Профессионально-техническое,6496
Гродненская,Город,Женский,41-50,Базовое / Среднее общее (школа),11424
Гродненская,Город,Женский,41-50,Другое,96
Гродненская,Город,Женский,51-60,Высшее,12364
Гродненская,Город,Женский,51-60,Среднее специальное,22947
Гродненская,Город,Женский,51-60,Профессионально-техническое,4499
Гродненская,Город,Женский,51-60,Базовое / Среднее общее (школа),13774
Гродненская,Город,Женский,51-60,Другое,224
Гродненская,Город,Женский,старше 60,Высшее,9910
Гродненская,Город,Женский,старше 60,Среднее специальное,16733
Гродненская,Город,Женский,старше 60,Профессионально-техническое,2587
Гродненская,Город,Женский,старше 60,Базовое / Среднее общее (школа),20820
Гродненская,Город,Женский,старше 60,Другое,16399
Гродненская,Село,Мужской,18-30,Высшее,1834
Гродненская,Село,Мужской,18-30,Среднее специальное,5441
Гродненская,Село,Мужской,18-30,Профессионально-техническое,5044
Гродненская,Село,Мужской,18-30,Базовое / Среднее общее (школа),10255
Гродненская,Село,Мужской,18-30,Другое,433
Гродненская,Село,Мужской,31-40,Высшее,1560
Гродненская,Село,Мужской,31-40,Среднее специальное,4948
Гродненская,Село,Мужской,31-40,Профессионально-техническое,4775
Гродненская,Село,Мужской,31-40,Базовое / Среднее общее (школа),10215
Гродненская,Село,Мужской,31-40,Другое,342
Гродненская,Село,Мужской,41-50,Высшее,2843
Гродненская,Село,Мужской,41-50,Среднее специальное,6406
Гродненская,Село,Мужской,41-50,Профессионально-техническое,5862
Гродненская,Село,Мужской,41-50,Базовое / Среднее общее (школа),12606
Гродненская,Село,Мужской,41-50,Другое,410
Гродненская,Село,Мужской,51-60,Высшее,2569
Гродненская,Село,Мужской,51-60,Среднее специальное,3975
Гродненская,Село,Мужской,51-60,Профессионально-техническое,3451
Гродненская,Село,Мужской,51-60,Базовое / Среднее общее (школа),9646
